Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X21.2,030425 (07/A-X21.2/25),07/A-X21.2/25 (2025-OTR-1471),"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm",BAZAN ĐEN ,80403,80,0.0,40.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,9.024,28.2,940,318.6440678,680.0
X21.2,030425 (07/A-X21.2/25),07/A-X21.2/25 (2025-OTR-1471),"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",BAZAN ĐEN ,100356,100,0.0,35.0,0.0,6.0,0.0,ĐỐT XỊT ,2.0,PALISADE,,24.15,69,1150,389.8305085,88.0
X21.2,030425 (07/A-X21.2/25),07/A-X21.2/25 (2025-OTR-1471),"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm",BAZAN ĐEN ,1503515,150,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP,,78.75,150,1000,338.9830508,12.0
X21.2,Draft (06/A-X21.2/25),06/A-X21.2/25,"BLUESTONE, Đá lát- Mặt giả cổ rung, cạnh cưa ",BLUESTONE,2055,20,0.0,5.0,0.0,5.0,0.0,HONE,2.0,TILE,,0.225,22.5,450,152.5423729,7200.0
X21.2,Draft (06/A-X21.2/25),06/A-X21.2/25,"BLUESTONE, Đá lát- Giả cổ rung",BLUESTONE,60601.5,60,0.0,60.0,0.0,1.5,0.0,HONE,2.0,TILE,,10.872,30.2,2013.333333,745.6790123,136.0
X21.2,Draft (06/A-X21.2/25),06/A-X21.2/25,"BLUESTONE, Đá lát- Giả cổ rung",BLUESTONE,60602,60,0.0,60.0,0.0,2.0,0.0,HONE,2.0,TILE,,10.368,28.8,1440,533.3333333,136.0
X21.2,Draft (06/A-X21.2/25),06/A-X21.2/25,"BLUESTONE, Đá lát- Giả cổ rung",BLUESTONE,6081,60,0.0,8.0,0.0,1.0,0.0,HONE,2.0,TILE,,1.9,39.58333333,3958.333333,1466.049383,40.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, các cạnh cưa vạt mép ",BAZAN ĐEN ,60603,60,0.0,60.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,12.06,33.5,1116.666667,421.3836478,68.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá slab-Mặt đốt xịt nước, chải ",BAZAN ĐEN ,150-230703,150,230.0,70.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,SLAB,,53.55,51,1700,641.509434,20.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá slab-Mặt đốt xịt nước, chải ",BAZAN ĐEN ,150-230704,150,230.0,70.0,0.0,4.0,0.0,ĐỐT XỊT ,2.0,SLAB,,82.46,62,1550,525.4237288,20.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1003515,100,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP,,50.4,144,960,325.4237288,24.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1253515,125,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,STEP,,63.98,146.24,974.9333333,330.4858757,12.0
